RWIS - I-80 MM 72 near Adair,cctv-inventory-item
R00: I-80 Bridge,cctv-inventory-item
R00: I-80 East,cctv-inventory-item
R00: I-80 North,cctv-inventory-item
RWIS - IA 10 MM 24 near Alton,cctv-inventory-item
R02: IA 10 Bridge,cctv-inventory-item
R02: IA 10 East,cctv-inventory-item
R02: IA 10 East Zoom,cctv-inventory-item
RWIS - I-35 MM 114 @ Ames,cctv-inventory-item
R04: I-35 Bridge Deck,cctv-inventory-item
R04: I-35 North,cctv-inventory-item
R04: I-35 West,cctv-inventory-item
R04: I-35 South Zoom,cctv-inventory-item
R04: I-35 South,cctv-inventory-item
RWIS - I-80 MM 43 near Avoca,cctv-inventory-item
R06: I-80 Bridge,cctv-inventory-item
R06: I-80 East,cctv-inventory-item
R06: I-80 Pavement,cctv-inventory-item
R06: I-80 West,cctv-inventory-item
R02: IA 10 West,cctv-inventory-item
R04: I-35 North Ramp,cctv-inventory-item
R12: I-80/29 West,cctv-inventory-item
R00: I-80 West,cctv-inventory-item
RWIS - US 34 MM 263.5 @ Burlington,cctv-inventory-item
R07: Position 2,cctv-inventory-item
R07: Position 3,cctv-inventory-item
R07: Position 4,cctv-inventory-item
R07: Position 5,cctv-inventory-item
R07: Position 6,cctv-inventory-item
RWIS - US 30 MM 80 @ Carroll,cctv-inventory-item
R08: Position 1,cctv-inventory-item
R08: Position 2,cctv-inventory-item
R08: Position 3,cctv-inventory-item
R08: Position 4,cctv-inventory-item
R08: Position 5,cctv-inventory-item
RWIS - I-380 MM 20 @ Cedar Rapids,cctv-inventory-item
R09: I-380 South Ramp 2,cctv-inventory-item
R09: I-380 North,cctv-inventory-item
R09: I-380 North Bridge,cctv-inventory-item
R09: I-380 South Ramp,cctv-inventory-item
R09: I-380 Roadway,cctv-inventory-item
RWIS - US 30 MM 252 @ Cedar Rapids,cctv-inventory-item
R10: US 30 Bridge,cctv-inventory-item
R10: Us 30 Roadway,cctv-inventory-item
R10: US 30 East,cctv-inventory-item
R10: US 30 West,cctv-inventory-item
RWIS - IA 2 MM 164 near Centerville,cctv-inventory-item
R11: Near RPU,cctv-inventory-item
R11: Bridge Deck,cctv-inventory-item
R11: West View,cctv-inventory-item
R11: East View,cctv-inventory-item
R11: East Sensor,cctv-inventory-item
R11: West Bridge Approach,cctv-inventory-item
RWIS - US 34 MM 87 near Creston,cctv-inventory-item
R13: US 34,cctv-inventory-item
R13: US 34 East View,cctv-inventory-item
R13: US 34 EB Bridge Approach,cctv-inventory-item
R13: US 34 WB Bridge Approach,cctv-inventory-item
RWIS - I-80 MM 290 @ Davenport,cctv-inventory-item
R14: Position 1,cctv-inventory-item
R14: Position 2,cctv-inventory-item
R14: Position 3,cctv-inventory-item
R14: Position 4,cctv-inventory-item
RWIS - IA 9 MM 265 near Decorah,cctv-inventory-item
R15: IA 9 Roadway,cctv-inventory-item
R14: Position 5,cctv-inventory-item
R14: Position 6,cctv-inventory-item
R14: Position 7,cctv-inventory-item
R15: IA 9 East,cctv-inventory-item
R15: IA 9 Bridge,cctv-inventory-item
R15: IA 9 West,cctv-inventory-item
RWIS - US 30 MM 311 @ DeWitt,cctv-inventory-item
R19: Position 1,cctv-inventory-item
R19: Position 2,cctv-inventory-item
R19: Position 3,cctv-inventory-item
R19: Position 4,cctv-inventory-item
RWIS - US 20 MM 316 @ Dubuque,cctv-inventory-item
R20: US 20 West 2,cctv-inventory-item
R20: US 20 Roadway,cctv-inventory-item
R20: US 20 East,cctv-inventory-item
R20: US 20 West,cctv-inventory-item
R20: US 20 East Zoom,cctv-inventory-item
RWIS - IA 4 MM 25 near Jefferson,cctv-inventory-item
R25: IA 4 SB Approach,cctv-inventory-item
R25: IA 4 NB Approach,cctv-inventory-item
R25: IA 4 Bridge,cctv-inventory-item
R25: North View,cctv-inventory-item
R25: South View,cctv-inventory-item
RWIS - I-35 MM 13 near Leon,cctv-inventory-item
R26: IA 2 East,cctv-inventory-item
R26: I-35 North,cctv-inventory-item
R26: I-35 South,cctv-inventory-item
R26: IA 2 Bridge,cctv-inventory-item
R26: IA 2 West,cctv-inventory-item
RWIS - US 20 MM 277 @ Manchester,cctv-inventory-item
R27: US 20 East,cctv-inventory-item
R27: US 20 East Zoom,cctv-inventory-item
R27: US 20 Roadway,cctv-inventory-item
R27: US 20 Bridge,cctv-inventory-item
R27: US 20 West,cctv-inventory-item
RWIS - US 61 MM 159 @ Maquoketa,cctv-inventory-item
R28: Position 6,cctv-inventory-item
R28: Position 2,cctv-inventory-item
R28: Position 3,cctv-inventory-item
R28: Position 4,cctv-inventory-item
R28: Position 5,cctv-inventory-item
RWIS - I-35 MM 186 near Mason City,cctv-inventory-item
R30: I-35 NB,cctv-inventory-item
R30: I-35 Deck,cctv-inventory-item
R30: I-35,cctv-inventory-item
R30: I-35 SB,cctv-inventory-item
RWIS - I-29 MM 76 @ Mo Valley,cctv-inventory-item
R31: I-29 NB Bridge,cctv-inventory-item
R31: I-29 SB Bridge,cctv-inventory-item
R31: US 30 West,cctv-inventory-item
R31: I-29 South,cctv-inventory-item
R31: US 30 East,cctv-inventory-item
R31: I-29 North,cctv-inventory-item
D1 - I-35 MM 140 near Wiliams (2),cctv-inventory-item
D1 - US 65 @ MM 98.4 near Mingo SW (D1TV05),cctv-inventory-item
D1 - US 65 @ MM 98.4 near Mingo NE (D1TV06),cctv-inventory-item
D1 - I-35 @ MM 151 near Woolstock (D1TV08),cctv-inventory-item
